price_factor,opex
0.0555555555555555,29902.32
0.0623000301008691,31050.81
0.0698632875102457,32338.73
0.0783447284670117,33783.01
0.0878558209513066,35402.62
0.0985215652164535,37218.85
0.1104821366142564,39255.57
0.1238947278601773,41539.56
0.1389356149505047,44100.82
0.155802473882986,46973.01
0.1747169786285984,50193.90
0.1959277144985028,53805.80
0.2197134451953221,57856.19
0.2463867764862163,62398.30
0.2762982646478532,67491.82
0.3098410236788252,73203.70
0.3474558918301489,79609.00
0.3896372253553672,86791.91
0.4369393956250535,94125.63
0.4899840749945356,101234.98
0.54946840717991,109207.42
0.6161741695221309,118147.71
0.6909780475549228,128173.35
0.774863156910807,139416.12
0.8689319639927607,152023.76
0.9744207752224144,166161.98
1.0927159852908372,175945.20
1.2253722979557615,186201.75
1.374133158853473,197703.46
1.5409536688651293,210601.48
1.7280262791781624,225065.33
1.9378096057420653,241285.10
2.173060741814714,259473.95
2.436871493269328,279870.95
2.732709012887326,302744.15
3.064461367676344,328394.16
3.436488638085367,357158.11
3.8536802206922394,389414.01
4.321519087468512,425585.79
4.846153846153845,466148.85
