gas_price_MWh,electricity_price_MWh,opex
25.0,65.0,5908.74
315.0,65.0,30720.49
25.0,450.0,19511.94
315.0,450.0,60930.84
170.0,65.0,19315.85
170.0,450.0,40454.94
25.0,257.5,12704.71
315.0,257.5,48326.53
150.9986,372.4801,34930.72
297.165,188.5232,40615.15
187.7785,293.2829,37236.85
41.9055,84.3208,9000.36
97.8375,308.5944,25036.44
209.331,160.3581,31130.79
241.175,409.9422,49049.41
129.5041,242.4099,27151.17
102.8982,263.0621,24144.76
266.6879,114.8425,31479.21
238.2993,364.0583,46959.25
74.2669,196.5539,17667.60
52.7134,418.0399,22368.11
182.3683,234.0997,34311.75
288.1814,339.1831,52802.11
158.8892,130.2489,24409.62
164.8603,328.8759,35303.04
276.8297,140.6564,34637.83
176.371,429.6851,40637.22
64.0914,222.1752,17106.42
77.0428,352.2197,23571.24
223.6851,208.293,36643.90
263.953,273.5611,45728.76
117.4714,104.6236,18808.31
123.5039,398.1138,31901.24
252.5564,254.1592,43124.21
215.307,319.0812,42072.35
86.4803,150.127,17703.37
39.1672,282.9647,15668.24
202.3546,94.7173,24578.57
299.9464,384.1367,56391.52
136.3795,176.6101,25706.63
