price_ratio,opex_milp,opex_lp_lower,opex_lp_upper_bo,opex_lp_upper_chp,opex_lp_upper_rounded,opex_lp_approx_mean,sum_dB,sum_dCHP
0.1,49992.27041554359,45715.31847841072,99691.90032852179,59439.24702759887,,47373.5039529942,0.0,149.0
0.11721022975334802,52533.19646176255,48439.258125170694,101108.64002925518,61661.37890432115,,50273.91915041398,0.0,150.0
0.1373823795883263,55534.27738451513,51631.99404348059,102769.20388749168,64265.94478244972,,53673.50246711073,0.0,150.0
0.16102620275609392,58903.98808548728,55374.20714874928,104715.55460093173,67318.76243228152,,57658.16188326747,0.0,150.0
0.18873918221350972,62945.6356520324,59760.46372729462,106996.87674396076,70896.97701360015,,62328.5903398332,0.0,151.0
0.2212216291070449,67629.00331821413,64901.60514057896,109670.81966921908,75091.01054543149,,67802.81026423966,0.0,151.0
0.2592943797404667,73185.44090460624,70927.54880303403,112804.95431538775,80006.84688402347,,74219.15601483999,0.0,152.0
0.30391953823131973,79787.30966442375,77990.57121460496,116478.48073494133,85768.7099507857,,81739.76961088784,3.0,151.0
0.3562247890262442,87188.41120438304,86269.1560107377,120784.22949135002,92522.20288941101,,90554.69808567705,0.0,152.0
0.41753189365604015,96214.54161864123,95412.46888487985,125831.00750133858,100437.98747914989,,98955.71176162544,1.0,153.0
0.4893900918477494,106443.63183548299,105374.29188258616,131746.3476019876,109716.09678356294,,108585.21633805573,0.0,156.0
0.5736152510448679,118644.93554549103,117050.56750581956,138679.73132465023,120590.99001603221,,119871.98077619882,0.0,162.0
0.6723357536499337,132429.5228165405,130736.35699044562,146806.36631566437,133337.4773592408,,133101.22330586554,0.0,162.0
0.7880462815669912,148127.50262856635,146777.50228893536,156331.613859848,148277.66445969694,,148607.24886951552,19.0,168.0
0.9236708571873861,163537.54813535593,161561.19258174062,167496.1783909608,165789.09208572167,,162877.0185663695,336.0,45.0
1.0826367338740546,176612.2288905186,176612.2288905186,180582.19012883888,186232.31081373923,,175168.06228576106,336.0,0.0
1.2689610031679222,191267.1338638018,191267.1338638018,195920.33455235587,209531.11356230453,,189574.42286834435,336.0,0.0
1.487352107293511,208444.18165312186,208444.18165312186,213898.20887106043,236839.69379367723,,206460.15120628598,336.0,0.0
1.743328822199988,228577.43883182635,228577.43883182635,234970.11666478228,268848.1434252467,,226251.95218671366,336.0,0.0
2.0433597178569416,252175.67582781825,252175.67582781825,259668.54820321724,306365.3207788938,,249449.96758819825,336.0,0.0
2.395026619987486,279835.22362855996,279835.22362855996,288617.6365548903,350339.29055207473,,276640.4147384955,336.0,0.0
2.807216203941177,312255.04315454647,312255.04315454647,322548.92952338594,401881.2815548878,,308510.4003143214,336.0,0.0
3.2903445623126677,350254.38810657593,350254.38810657593,362319.87597004126,462293.76762873493,,345865.2836301059,336.0,0.0
3.856620421163472,394793.50762961706,394793.50762961706,408935.4936752471,533103.3813556007,,389649.028188632,336.0,0.0
4.520353656360243,446997.9119526917,446997.9119526917,463573.7662884611,616099.4922923183,,440968.05578029936,336.0,0.0
5.298316906283707,508186.81420113426,508186.81420113426,527615.4111516699,713379.4246075882,,501119.20592767675,336.0,0.0
6.2101694189156165,579906.4671100855,579906.4671100855,602678.7702336602,827401.4567782183,,571622.5072146994,336.0,0.0
7.27895384398315,663969.2370629706,663969.2370629706,690660.7058742417,961046.9426548495,,654259.5886369133,336.0,0.0
8.531678524172806,762499.4028617758,762499.4028617758,793784.5347800096,1117693.1237058274,,751118.7016333519,336.0,0.0
10.0,877986.8365709104,877986.8365709104,914656.2115709104,1301298.4724155245,,864647.4905135324,336.0,0.0
